company,region,city,state,phone_normalized,owner_or_manager,website,email,fit_score,pain_signal,next_action,status,notes
911 AC LLC,Central Inland Florida,Cape Coral,FL,(863) 599-1779,Gary J Denison,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1821567; address=413 SW 44TH ST; zip=33914; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
A 1 Air Conditioning Of Central Florida INC,Central Inland Florida,Auburndale,FL,(863) 698-9832,Michael S Maddie,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1816340; address=224 BENTLEY OAKS BLVD; zip=33823; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
A1 Air Conditioning INC,Central Inland Florida,Lake Placid,FL,(863) 441-0802,Michael J Starr,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC056895; address=7132 SHANNON BLVD; zip=33908; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
A1 Air Solutions LLC,Central Inland Florida,Okeechobee,FL,(863) 261-1002,Osiris Mendez-Martinez,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819092; address=849 SW 20TH AVE; zip=34974; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Air Pro Cooling And Heating LLC,Central Inland Florida,Okeechobee,FL,(863) 801-2894,Brenda Sandoval,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819912; address=5747 NW 21ST AVE; zip=34972; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Bobby Fords AC LLC,Central Inland Florida,Haines City,FL,(863) 557-6749,Robert Ford,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1814261; address=64 JOEL MASSEY ROAD; zip=33844; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Browns AC INC,Central Inland Florida,Auburndale,FL,(863) 937-2076,James D Brown,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1818095; address=916 VAN DR; zip=33823; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Budget Heating And Cooling INC,Central Inland Florida,Auburndale,FL,(863) 968-0109,Curtis A Mills,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1814781; address=1902 BARTON PARK RD | #201; zip=33823; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Cornelius Welding INC,Central Inland Florida,Frostproof,FL,(863) 635-3668,Donald L Cornelius,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CMC1250044; address=221 N SCENIC HIGHWAY; zip=33843; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Double M Air Conditioning INC,Central Inland Florida,Tampa,FL,(863) 281-3411,Micah S Mungillo,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1821293; address=3030 S TULIP RD; zip=33935; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Ez Cooling Solutions LLC,Central Inland Florida,Labelle,FL,(863) 234-7832,Alex Zamarron,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1821926; address=1649 GARDEN ST; zip=33935; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Florida Air Conditioning Solutions INC,Central Inland Florida,Winter Haven,FL,(863) 221-6690,David E Bindschadler,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1824007; address=646 BROADMOOR CIR; zip=33884; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Glades Air Conditioning,Central Inland Florida,Clewiston,FL,(863) 983-8111,Kevin S Mccarthy,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CMC054668; address=309 E SUGARLAND HWY; zip=33440; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Griffin And Kampman Air And Electric Services INC,Central Inland Florida,Sebring,FL,(863) 402-5664,Mathew W Griffin,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1815336; address=4715 US HWY 275; zip=33870; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Indoor Comfort Solutions,Central Inland Florida,Lake Wales,FL,(863) 676-3556,Tommy Moses,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1813266; address=PO BOX 3988; zip=33859; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
J C Carson Air Systems INC,Central Inland Florida,Lake Wales,FL,(863) 696-2900,Jonathan Colby Carson,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC057845; address=15810 US 27; zip=33859; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Joe Breezy Air Of Polk INC,Central Inland Florida,Polk City,FL,(863) 874-8041,Joseph Colavito,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819510; address=9316 WOODVIEW DR; zip=33868; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
John Palmer Electric INC,Central Inland Florida,Avon Park,FL,(863) 452-2848,John Palmer,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1814866; address=5 S PROSPECT AVE; zip=33825; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
